category,app,description,auth_methods,access_model,api_type,api_breadth,mcp_availability,buildability,main_blocker,confidence,evidence_urls,notes
HR & Recruiting,UKG,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Zendesk,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Intercom Support,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Freshdesk,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Help Scout,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Gorgias,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Salesforce Service Cloud,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Kustomer,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Front,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Gladly,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Support & Customer Success,Zoho Desk,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Google Drive,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Google Sheets,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Dropbox,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,OneDrive,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Box,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Notion Workspace,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Evernote,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Todoist,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,Calendly,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
Productivity & Storage,DocuSign,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,Catalog entry; research evidence not yet verified.
